"Label","Location","Type","Size","Namespace"
"@6403","80684a90","undefined4","4","d_a_kb"
"@6404","80684a94","undefined4","4","d_a_kb"
"@6475","80684a98","undefined4","4","d_a_kb"
"@6476","80684a9c","undefined4","4","d_a_kb"
"@6866","80684aa0","undefined4","4","d_a_kb"
"@6877","80684aa4","undefined4","4","d_a_kb"
"@6878","80684aa8","undefined4","4","d_a_kb"
"@7038","80684aac","undefined4","4","d_a_kb"
"@7039","80684ab0","undefined4","4","d_a_kb"
"@7040","80684ab4","undefined4","4","d_a_kb"
"DAT_80684abe","80684abe","undefined2","2","Global"
"switchdataD_80684ade","80684ade","pointer","4","switchD_8067f330"
"","80684ae2","pointer","4",""
"","80684ae6","pointer","4",""
"","80684aea","pointer","4",""
"","80684aee","pointer","4",""
"","80684af2","pointer","4",""
"","80684af6","pointer","4",""
"switchdataD_80684afa","80684afa","pointer","4","switchD_806813bc"
"","80684afe","pointer","4",""
"","80684b02","pointer","4",""
"","80684b06","pointer","4",""
"","80684b0a","pointer","4",""
"","80684b0e","pointer","4",""
"","80684b12","pointer","4",""
"switchdataD_80684b2e","80684b2e","pointer","4","switchD_80682060"
"","80684b32","pointer","4",""
"","80684b36","pointer","4",""
"","80684b3a","pointer","4",""
"","80684b3e","pointer","4",""
"","80684b42","pointer","4",""
"","80684b46","pointer","4",""
"","80684b4a","pointer","4",""
"","80684b4e","pointer","4",""
"","80684b52","pointer","4",""
"profile_method_class_80684b96","80684b96","profile_method_class","32","Global"
"f_pc_profile__Profile_Actor_80684bb6","80684bb6","f_pc_profile__Profile_Actor","48","Global"
"__vt","80684be7","undefined1","1","dCcD_Sph"
"__vt","80684c6f","undefined1","1","cM3dGSph"
"__vt","80684c7b","undefined1","1","cM3dGAab"
"__vt","80684c87","undefined1","1","cCcD_ShapeAttr"
"__vt","80684cdb","undefined1","1","dBgS_ObjAcch"
"__vt","80684cff","undefined1","1","dPa_levelEcallBack"
"__vt","80684d1f","undefined1","1","JPACallBackBase<JPABaseEmitter*>"
"__vt","80684d3b","undefined1","1","dBgS_LinChk"
"__vt","80684d6b","undefined1","1","dBgS_Chk"
"__vt","80684d83","undefined1","1","dBgS_GrpPassChk"
"__vt","80684d8f","undefined1","1","cBgS_GrpPassChk"
"__vt","80684d9b","undefined1","1","dBgS_PolyPassChk"
"__vt","80684da7","undefined1","1","cBgS_PolyPassChk"
"__vt","80684db3","undefined1","1","cM3dGLin"
"__vt","80684dbf","undefined1","1","cBgS_LinChk"
"__vt","80684dd7","undefined1","1","cBgS_PolyInfo"
"ALL_ANGER","80684de8","undefined1","1","d_a_kb"
"DEMO_START","80684de9","undefined1","1","d_a_kb"
"@4217","80687e84","undefined4","4","d_a_kddoor"
"@4218","80687e88","undefined4","4","d_a_kddoor"
"@4219","80687e8c","undefined4","4","d_a_kddoor"
"@4220","80687e90","undefined4","4","d_a_kddoor"
"@4257","80687e94","undefined4","4","d_a_kddoor"
"@4258","80687e98","undefined4","4","d_a_kddoor"
"@4316","80687e9c","undefined4","4","d_a_kddoor"
"@4317","80687ea0","undefined4","4","d_a_kddoor"
"@4318","80687ea4","undefined4","4","d_a_kddoor"
"@4319","80687ea8","undefined4","4","d_a_kddoor"
"@4320","80687eac","undefined4","4","d_a_kddoor"
"@4413","80687eb0","undefined4","4","d_a_kddoor"
"@4444","80687eb4","undefined4","4","d_a_kddoor"
"@4445","80687eb8","undefined4","4","d_a_kddoor"
"@4446","80687ebc","undefined4","4","d_a_kddoor"
"@4447","80687ec0","undefined4","4","d_a_kddoor"
"@4561","80687ec4","undefined4","4","d_a_kddoor"
"@4562","80687ec8","undefined4","4","d_a_kddoor"
"@4563","80687ecc","undefined4","4","d_a_kddoor"
"@4564","80687ed0","undefined4","4","d_a_kddoor"
"M_arcname","80687ed8","undefined1","1","daKddoor_c"
"@4848","80687edc","undefined4","4","d_a_kddoor"
"@4849","80687ee0","undefined4","4","d_a_kddoor"
"@4866","80687ee4","undefined4","4","d_a_kddoor"
"@4867","80687ee8","undefined4","4","d_a_kddoor"
"@4898","80687eec","undefined4","4","d_a_kddoor"
"@4899","80687ef0","undefined4","4","d_a_kddoor"
"@4938","80687ef4","undefined4","4","d_a_kddoor"
"s_door10.bmd_80687efc","80687efc","string","11","Global"
"s_door10.bdl_80687f07","80687f07","string","11","Global"
"s_door10.dzb_80687f12","80687f12","string","11","Global"
"s_Stage_80687f1d","80687f1d","string","6","Global"
"s_d_a_kddoor.cpp_80687f23","80687f23","string","15","Global"
"s_modelData_!=_0_80687f32","80687f32","string","15","Global"
"s_SHUTTER_DOOR_80687f4c","80687f4c","string","16","Global"
