"Name","Location","Function Signature","Function Size","Namespace"
"@class$4017d_camera_cpp","8017d0cc","void @class$4017d_camera_cpp(@class$4017d_camera_cpp * this)","4","dCamera_c::@class$4017d_camera_cpp"
"__AI_set_stream_sample_rate","80316be8","undefined __AI_set_stream_sample_rate()","212","ai"
"__AI_SRC_INIT","80317010","undefined __AI_SRC_INIT()","484","ai"
"__AICallbackStackSwitch","80316fb8","undefined __AICallbackStackSwitch()","88","ai"
"__AIDHandler","80316f0c","undefined __AIDHandler()","172","ai"
"__AISHandler","80316e90","undefined __AISHandler()","124","ai"
"__ARChecksize","803174dc","undefined __ARChecksize()","6132","ar"
"__ARHandler","80317464","undefined __ARHandler()","120","ar"
"__ARQCallbackHack","80318dd0","undefined __ARQCallbackHack()","4","ar"
"__ARQInterruptServiceRoutine","80318dd4","undefined __ARQInterruptServiceRoutine()","204","ar"
"__ARQServiceQueueLo","80318cd0","undefined __ARQServiceQueueLo()","256","ar"
"__arraydtor$3997","808081fc","undefined __arraydtor$3997()","56","d_a_obj_buoyflag"
"__arraydtor$4057","800e5914","undefined __arraydtor$4057()","56","d_a_dai_item"
"__arraydtor$4057","8045c678","undefined __arraydtor$4057()","56","d_a_obj_movebox"
"__arraydtor$4059","800e58dc","undefined __arraydtor$4059()","56","d_a_dai_item"
"__arraydtor$4060","8045c3ac","undefined __arraydtor$4060()","56","d_a_obj_movebox"
"__arraydtor$4061","800e58a4","undefined __arraydtor$4061()","56","d_a_dai_item"
"__arraydtor$4063","800e586c","undefined __arraydtor$4063()","56","d_a_dai_item"
"__arraydtor$4065","800e5834","undefined __arraydtor$4065()","56","d_a_dai_item"
"__arraydtor$4067","800e57fc","undefined __arraydtor$4067()","56","d_a_dai_item"
"__arraydtor$4069","800e57c4","undefined __arraydtor$4069()","56","d_a_dai_item"
"__arraydtor$4071","800e578c","undefined __arraydtor$4071()","56","d_a_dai_item"
"__arraydtor$4184","80051fcc","undefined __arraydtor$4184()","56","d_map"
"__arraydtor$4186","80051f78","undefined __arraydtor$4186()","56","d_map"
"__arraydtor$4188","80051f00","undefined __arraydtor$4188()","56","d_map"
"__arraydtor$4195","8060b210","undefined __arraydtor$4195()","56","d_a_bwd"
"__arraydtor$4196","80051eac","undefined __arraydtor$4196()","56","d_map"
"__arraydtor$4200","80051e58","undefined __arraydtor$4200()","56","d_map"
"__arraydtor$4202","80051e20","undefined __arraydtor$4202()","56","d_map"
"__arraydtor$4205","80051de8","undefined __arraydtor$4205()","56","d_map"
"__arraydtor$4710","80205edc","undefined __arraydtor$4710()","56","d_meter"
"__arraydtor$5507","8058a474","undefined __arraydtor$5507()","56","d_a_bdk"
"__arraydtor$5591","80045324","undefined __arraydtor$5591()","56","d_stage"
"__CARDAccess","8031e684","card_errors __CARDAccess(CardBlockData * param_1\, card_direntry * param_2)","152","card"
"__CARDAllocBlock","8031bfa4","card_errors __CARDAllocBlock(int card_slot\, uint size)","280","card"
"__CARDCheckSum","8031c3cc","undefined __CARDCheckSum()","432","card"
"__CARDClearStatus","80319b70","card_errors __CARDClearStatus(undefined4 param_1)","172","card"
"__CARDCompareFileName","8031e61c","bool __CARDCompareFileName(card_file_header * file_header\, char * filename)","104","card"
"__CARDDefaultApiCallback","8031966c","undefined __CARDDefaultApiCallback()","4","card"
"__CARDEnableInterrupt","803199c0","card_errors __CARDEnableInterrupt(undefined4 param_1\, int param_2)","192","card"
"__CARDEraseSector","8031a400","undefined __CARDEraseSector(undefined4 card_slot\, undefined4 param_2)","224","card"
"__CARDExiHandler","8031977c","undefined __CARDExiHandler()","280","card"
"__CARDExtHandler","803196a4","undefined __CARDExtHandler(undefined4 card_slot)","216","card"
"__CARDFormatRegionAsync","8031df70","undefined __CARDFormatRegionAsync(undefined4 card_slot\, undefined2 param_2\, undefined4 attach_cb)","1624","card"
"__CARDGetControlBlock","8031a5cc","card_errors __CARDGetControlBlock(int card_slot\, CardBlockData * * param_2)","184","card"
"__CARDGetDirBlock","8031c168","card_direntry * __CARDGetDirBlock(CardBlockData * param_1)","8","card"
"__CARDGetFatBlock","8031be00","undefined __CARDGetFatBlock(CardBlockData * param_1)","8","card"
"__CARDGetFontEncode","8031a58c","undefined __CARDGetFontEncode()","8","card"
"__CARDIsPublic","8031e71c","card_errors __CARDIsPublic(card_direntry * param_1)","48","card"
"__CARDMountCallback","8031d9c4","undefined __CARDMountCallback()","312","card"
"__CARDPutControlBlock","8031a684","card_errors __CARDPutControlBlock(CardBlockData * param_1\, card_errors param_2)","100","card"
"__CARDRead","8031bc5c","card_errors __CARDRead(int card_slot\, uint len\, uint offset\, void * buffer\, void * read_cb)","100","card"
"__CARDReadSegment","8031a1b0","undefined __CARDReadSegment(undefined4 card_slot\, void * read_callback)","308","card"
"__CARDReadStatus","80319a80","card_errors __CARDReadStatus(undefined4 param_1\, undefined4 param_2)","240","card"
"__CARDSeek","8031ecb0","card_errors __CARDSeek(card_file * file\, int len\, uint offset\, CardBlockData * * param_4)","440","card"
"__CARDSetDiskID","8031a594","undefined __CARDSetDiskID()","56","card"
"__CARDStart","80319ffc","card_errors __CARDStart(undefined4 card_slot\, void * read_callback\, undefined4 ext_handler)","436","card"
"__CARDSync","8031a838","card_errors __CARDSync(undefined4 card_slot)","152","card"
"__CARDSyncCallback","80319670","undefined __CARDSyncCallback()","52","card"
"__CARDTxHandler","80319894","undefined __CARDTxHandler()","168","card"
"__CARDUnlock","8031ac94","undefined __CARDUnlock()","2904","card"
"__CARDUnlockedHandler","8031993c","undefined __CARDUnlockedHandler()","132","card"
"__CARDUpdateDir","8031c308","card_errors __CARDUpdateDir(int card_slot\, void * callback)","196","card"
"__CARDUpdateFatBlock","8031c0bc","undefined __CARDUpdateFatBlock(undefined4 card_slot\, undefined4 param_2\, undefined4 param_3)","172","card"
"__CARDVerify","8031ccc4","undefined __CARDVerify()","140","card"
"__CARDWrite","8031bd9c","card_errors __CARDWrite(undefined4 card_slot\, undefined4 len\, undefined4 offset\, undefined4 buffer\, undefined4 callback)","100","card"
"__CARDWritePage","8031a2e4","undefined __CARDWritePage(undefined4 card_slot\, undefined4 param_2)","284","card"
"__close_all","80329d2c","undefined __close_all()","152","MSL_C.PPCEABI.bare.H"
"__close_console","8032e2c4","undefined __close_console()","8","MSL_C.PPCEABI.bare.H"
"__construct_array","80328acc","void __construct_array(void * param_1\, undefined * constructor\, undefined * destructor\, int elementSize\, uint numElements)","248","Runtime.PPCEABI.H"
"__construct_new_array","80328c7c","undefined __construct_new_array()","256","Runtime.PPCEABI.H"
"__copy","803289a8","undefined __copy()","48","Runtime.PPCEABI.H"
"__copy_longs_aligned","8032b834","undefined __copy_longs_aligned()","192","MSL_C.PPCEABI.bare.H"
"__copy_longs_rev_aligned","8032b788","undefined __copy_longs_rev_aligned()","172","MSL_C.PPCEABI.bare.H"
"__copy_longs_rev_unaligned","8032b614","undefined __copy_longs_rev_unaligned()","176","MSL_C.PPCEABI.bare.H"
"__copy_longs_unaligned","8032b6c4","undefined __copy_longs_unaligned()","196","MSL_C.PPCEABI.bare.H"
"__count_trailing_zerol","8032a96c","undefined __count_trailing_zerol()","112","MSL_C.PPCEABI.bare.H"
"__cvt_dbl_usll","80329420","undefined __cvt_dbl_usll()","204","Runtime.PPCEABI.H"
"__cvt_fp2unsigned","80328e10","undefined __cvt_fp2unsigned()","92","Runtime.PPCEABI.H"
"__DBExceptionDestination","8030d020","undefined __DBExceptionDestination()","16","db"
"__DBExceptionDestinationAux","8030cfd8","undefined __DBExceptionDestinationAux()","72","db"
"__DBIsExceptionMarked","8030d030","undefined __DBIsExceptionMarked()","28","db"
"__Decode","8029d134","undefined __Decode(StreamLib * this)","148","JAInter::StreamLib"
"__DecodeADPCM","8029cd8c","undefined __DecodeADPCM(StreamLib * this)","936","JAInter::StreamLib"
"__DecodePCM","8029ccd0","undefined __DecodePCM(StreamLib * this)","188","JAInter::StreamLib"
"__defctor","8029031c","undefined __defctor(Camera * this)","20","JAInter::Camera"
"__defctor","80294f44","undefined __defctor(MoveParaSet * this)","24","JAInter::MoveParaSet"
"__defctor","804a14c0","undefined __defctor(dPa_followEcallBack * this)","40","dPa_followEcallBack"
"__defctor","804b3be0","undefined __defctor(dPa_smokeEcallBack * this)","36","dPa_smokeEcallBack"
"__defctor","80543140","undefined __defctor(dPa_smokeEcallBack * this)","36","dPa_smokeEcallBack"
"__defctor","8055a014","undefined __defctor(dPa_followEcallBack * this)","40","dPa_followEcallBack"
"__defctor","80562dec","undefined __defctor(dPa_followEcallBack * this)","40","dPa_followEcallBack"
"__defctor","80589904","undefined __defctor(dPa_followEcallBack * this)","40","dPa_followEcallBack"
"__defctor","80589a14","undefined __defctor(dPa_smokeEcallBack * this)","36","dPa_smokeEcallBack"
"__defctor","8059b660","undefined __defctor(dPa_smokeEcallBack * this)","36","dPa_smokeEcallBack"
"__defctor","805cae90","undefined __defctor(dPa_smokeEcallBack * this)","36","dPa_smokeEcallBack"
"__defctor","805cf060","undefined __defctor(dPa_smokeEcallBack * this)","36","dPa_smokeEcallBack"
"__defctor","805cf0f0","undefined __defctor(dPa_followEcallBack * this)","40","dPa_followEcallBack"
"__defctor","805e80e0","undefined __defctor(dPa_smokeEcallBack * this)","36","dPa_smokeEcallBack"
"__defctor","805ff5e4","undefined __defctor(dPa_smokeEcallBack * this)","36","dPa_smokeEcallBack"
"__defctor","8060a95c","undefined __defctor(dPa_followEcallBack * this)","40","dPa_followEcallBack"
"__defctor","8060aa00","undefined __defctor(dPa_smokeEcallBack * this)","36","dPa_smokeEcallBack"
"__defctor","80634d00","undefined __defctor(dPa_smokeEcallBack * this)","36","dPa_smokeEcallBack"
"__defctor","80684728","undefined __defctor(dPa_followEcallBack * this)","40","dPa_followEcallBack"
"__defctor","806c0d0c","undefined __defctor(dPa_followEcallBack * this)","40","dPa_followEcallBack"
"__defctor","80810968","undefined __defctor(dPa_smokeEcallBack * this)","36","dPa_smokeEcallBack"
"__defctor","80845c00","undefined __defctor(dPa_smokeEcallBack * this)","36","dPa_smokeEcallBack"
"__defctor","8087fe44","undefined __defctor(dPa_followEcallBack * this)","40","dPa_followEcallBack"
"__defctor","808b0408","undefined __defctor(dPa_smokeEcallBack * this)","36","dPa_smokeEcallBack"
"__destroy_arr","80328a54","undefined __destroy_arr()","120","Runtime.PPCEABI.H"
"__destroy_global_chain","80328948","undefined __destroy_global_chain()","72","Runtime.PPCEABI.H"
"__destroy_global_chain","804049b4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804059d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8040e894","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80411494","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80416bb4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80417a34","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8041e1d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80420a54","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80422814","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80425c14","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804320d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80434f94","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8043f034","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80442c74","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804437d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8044b714","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8044e614","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804578b4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80461614","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80461cb4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80464614","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80465974","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80466ed4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804694b4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8046f534","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80471fb4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80472b94","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80476334","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80479634","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80487694","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8048b654","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80491854","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80493c74","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80494554","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80496e54","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8049c214","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804a0774","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804abe74","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804ae4d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804ba5d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804bca34","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804bfb74","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804c4754","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804d0d94","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804d7ad4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804d9bf4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804dfb94","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804e5674","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804f46f4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","804ff9d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","805158f4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","805200f4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80521cf4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80524194","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80529854","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8052bc94","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8052fe94","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80531294","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80532ad4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80534354","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80537774","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","805397d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80540f94","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80543d34","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80546e54","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80556354","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80557434","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8055aa34","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8055e714","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80561e34","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","805631d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80566474","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","805668d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8056cb54","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8056e474","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80572e74","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8057c7f4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8058b2d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8058e7d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8059e654","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","805a3634","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","805acd54","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","805c43b4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","805cbfb4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","805cf814","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","805d34b4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","805e91f4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","805f6114","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80600a54","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80631374","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80635954","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8063bab4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8063eed4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80642314","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","806507d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8065bf34","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80665c14","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8066f734","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80674d94","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8068fa14","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80693ed4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","806a2974","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","806a6714","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","806b4c34","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","806b7cf4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","806c1d34","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","806c80d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","806ccaf4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","806d1594","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","806d6934","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","806df5f4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","806ea954","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","806ef3d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","806f4374","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","806fa014","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807001d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80705894","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80708134","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8070c2d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8070fe94","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80715fd4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807194b4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8071d754","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80729af4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8072bcd4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8073f5f4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80744d94","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80749e74","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8074cf54","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80750874","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80757c34","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8075a414","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80763ed4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80767234","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8077a794","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8077f614","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80783b94","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8078c6f4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80791c54","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807a7bd4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807abd34","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807b1c54","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807b9ad4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807bf954","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807c5bf4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807d04d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807d6694","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807db7f4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807e0bd4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807e3a74","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807ec754","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807f9ad4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","807fcfd4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","808051b4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8080d294","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80811814","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","808134d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80815af4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80823354","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80831af4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80835274","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80835d74","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8083c8b4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80840714","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8084c974","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8084f0b4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80851e74","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80856254","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80861a34","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80864eb4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","808761d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8087c134","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80888ab4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","80896af4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","8089fbd4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","808a5274","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","808a70d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","808b7474","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","808bbf34","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","808cbbf4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","808e0474","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","808e11d4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_global_chain","808e2ff4","undefined __destroy_global_chain()","88","global_destructor_chain"
"__destroy_new_array","803289d8","undefined __destroy_new_array()","124","Runtime.PPCEABI.H"
"__div2i","80329088","undefined __div2i()","312","Runtime.PPCEABI.H"
"__div2u","80328f9c","undefined __div2u()","236","Runtime.PPCEABI.H"
"__DSP_boot_task","803193ac","undefined __DSP_boot_task()","396","dsp"
"__DSP_debug_printf","803191bc","undefined __DSP_debug_printf()","80","dsp"
"__DSP_exec_task","8031920c","undefined __DSP_exec_task()","416","dsp"
"__DSP_insert_task","80319538","undefined __DSP_insert_task()","160","dsp"
"__DSP_remove_task","803195d8","undefined __DSP_remove_task()","148","dsp"
"__DSPHandler","8028eca0","undefined __DSPHandler()","772","JAudio"
"__DVDCheckWaitingQueue","80312a44","undefined __DVDCheckWaitingQueue()","88","dvd"
"__DVDClearWaitingQueue","80312904","undefined __DVDClearWaitingQueue()","56","dvd"
"__DVDDequeueWaitingQueue","80312a9c","undefined __DVDDequeueWaitingQueue()","96","dvd"
"__DVDFSInit","8030f278","undefined __DVDFSInit()","56","dvd"
"__DVDInitWA","8030e438","undefined __DVDInitWA()","64","dvd"
"__DVDInterruptHandler","8030e478","undefined __DVDInterruptHandler()","736","dvd"
"__DVDLowSetWAType","8030f234","undefined __DVDLowSetWAType()","68","dvd"
"__DVDPopWaitingQueue","803129a4","undefined __DVDPopWaitingQueue()","160","dvd"
"__DVDPrepareResetAsync","803127e8","undefined __DVDPrepareResetAsync()","284","dvd"
"__DVDPrintFatalMessage","80312d8c","undefined __DVDPrintFatalMessage()","48","dvd"
"__DVDPushWaitingQueue","8031293c","undefined __DVDPushWaitingQueue()","104","dvd"
"__DVDStoreErrorCode","80312c18","undefined __DVDStoreErrorCode()","124","dvd"
"__EXIProbe","8030a2d4","undefined __EXIProbe()","372","exi"
"__FileWrite","8032bce0","undefined __FileWrite()","88","MSL_C.PPCEABI.bare.H"
"__fini_cpp_exceptions","803294f4","undefined __fini_cpp_exceptions()","52","Runtime.PPCEABI.H"
